Time : 2022-03-15 08:47:13, Label : 1, Word : CHOICE, Percentage = 91.45%, RunTime : 0.0951sec
Time : 2022-03-15 08:58:41, Label : 2, Word : CLICK, Percentage = 100.00%, RunTime : 0.0993sec
Time : 2022-03-15 08:58:45, Label : 1, Word : CHOICE, Percentage = 99.91%, RunTime : 0.0968sec
Time : 2022-03-15 08:58:49, Label : 3, Word : CLOSE, Percentage = 100.00%, RunTime : 0.1320sec
Time : 2022-03-15 08:58:53, Label : 4, Word : HOME, Percentage = 100.00%, RunTime : 0.0981sec
Time : 2022-03-15 08:58:56, Label : 13, Word : UP, Percentage = 99.97%, RunTime : 0.1584sec
Time : 2022-03-15 08:59:01, Label : 4, Word : HOME, Percentage = 78.38%, RunTime : 0.1289sec
Time : 2022-03-15 08:59:06, Label : 12, Word : DOWN, Percentage = 99.82%, RunTime : 0.1052sec
Time : 2022-03-15 09:05:24, Label : 1, Word : CHOICE, Percentage = 99.70%, RunTime : 0.1230sec
Time : 2022-03-15 09:05:30, Label : 1, Word : CHOICE, Percentage = 97.69%, RunTime : 0.1147sec
Time : 2022-03-15 09:05:34, Label : 2, Word : CLICK, Percentage = 100.00%, RunTime : 0.1255sec
Time : 2022-03-15 09:05:38, Label : 3, Word : CLOSE, Percentage = 99.44%, RunTime : 0.1689sec
Time : 2022-03-15 09:05:43, Label : 4, Word : HOME, Percentage = 100.00%, RunTime : 0.1161sec
Time : 2022-03-15 09:05:47, Label : 5, Word : END, Percentage = 99.95%, RunTime : 0.1301sec
Time : 2022-03-15 09:05:51, Label : 6, Word : DARKEN, Percentage = 100.00%, RunTime : 0.1523sec
Time : 2022-03-15 09:05:54, Label : 7, Word : BRIGHTEN, Percentage = 100.00%, RunTime : 0.1344sec
Time : 2022-03-15 09:05:58, Label : 8, Word : VOICE_COMMANDS, Percentage = 100.00%, RunTime : 0.0905sec
Time : 2022-03-15 09:06:02, Label : 9, Word : PICTURE, Percentage = 100.00%, RunTime : 0.1306sec
Time : 2022-03-15 09:06:05, Label : 10, Word : RECORD, Percentage = 100.00%, RunTime : 0.1051sec
Time : 2022-03-15 09:06:10, Label : 11, Word : STOP, Percentage = 100.00%, RunTime : 0.1188sec
Time : 2022-03-15 09:06:13, Label : 12, Word : DOWN, Percentage = 100.00%, RunTime : 0.1136sec
Time : 2022-03-15 09:06:17, Label : 13, Word : UP, Percentage = 100.00%, RunTime : 0.1204sec
Time : 2022-03-15 09:06:21, Label : 14, Word : NEXT, Percentage = 100.00%, RunTime : 0.1357sec
Time : 2022-03-15 09:06:25, Label : 1, Word : CHOICE, Percentage = 100.00%, RunTime : 0.1379sec
Time : 2022-03-15 09:06:29, Label : 5, Word : END, Percentage = 57.82%, RunTime : 0.1187sec
Time : 2022-03-15 09:06:34, Label : 1, Word : CHOICE, Percentage = 100.00%, RunTime : 0.1477sec
Time : 2022-03-15 09:06:38, Label : 2, Word : CLICK, Percentage = 99.99%, RunTime : 0.1543sec
Time : 2022-03-15 09:06:42, Label : 3, Word : CLOSE, Percentage = 100.00%, RunTime : 0.1337sec
Time : 2022-03-15 09:06:45, Label : 4, Word : HOME, Percentage = 100.00%, RunTime : 0.1643sec
Time : 2022-03-15 09:06:55, Label : 5, Word : END, Percentage = 100.00%, RunTime : 0.0992sec
Time : 2022-03-15 09:06:59, Label : 30, Word : ACCEPT, Percentage = 92.96%, RunTime : 0.1208sec
Time : 2022-03-15 09:07:03, Label : 2, Word : CLICK, Percentage = 100.00%, RunTime : 0.2209sec
Time : 2022-03-15 09:07:07, Label : 14, Word : NEXT, Percentage = 91.00%, RunTime : 0.1255sec
Time : 2022-03-15 09:07:10, Label : 2, Word : CLICK, Percentage = 99.99%, RunTime : 0.1482sec
Time : 2022-03-15 09:07:15, Label : 2, Word : CLICK, Percentage = 99.74%, RunTime : 0.1400sec
Time : 2022-03-15 09:07:22, Label : 16, Word : PLAY, Percentage = 70.82%, RunTime : 0.0916sec
Time : 2022-03-15 09:07:31, Label : 2, Word : CLICK, Percentage = 100.00%, RunTime : 0.1463sec
Time : 2022-03-15 09:07:39, Label : 14, Word : NEXT, Percentage = 33.44%, RunTime : 0.1003sec
Time : 2022-03-15 09:08:29, Label : 13, Word : UP, Percentage = 100.00%, RunTime : 0.1070sec
Time : 2022-03-15 09:08:38, Label : 0, Word : NONE, Percentage = 98.94%, RunTime : 0.1347sec
Time : 2022-03-15 09:08:41, Label : 0, Word : NONE, Percentage = 54.96%, RunTime : 0.0979sec
Time : 2022-03-15 09:17:42, Label : 29, Word : CALL, Percentage = 98.72%, RunTime : 0.1113sec
Time : 2022-03-15 09:17:47, Label : 14, Word : NEXT, Percentage = 99.79%, RunTime : 0.1210sec
